name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Aardonyx,ar-don-ix,'Earth claw',prosauropod,8.0m,,herbivorous,,,,"Early Jurassic, 199-189 million years ago",South Africa,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria","Yates, Bonnan, Neveling, Chinsamy and Blackbeard ",2010 (2009) ,celestae," Aardonyx Aardonyx is known from two immature individuals. Adults would have been much larger, probably over 10m. Aardonyx Aardonyx would have been largely bipedal (walking on two legs) but also capable of walking on all four legs. This and its way of feed",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aardonyx.jpg
Abelisaurus,ah-BEEL-ee-sore-us,'Abel's lizard',large theropod,9.0m,,carnivorous,,,,"Late Cretaceous, 74-70 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae, Abelisaurinae",Bonaparte and Novas ,(1985) ,comahuensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg
Achelousaurus,ah-KEL-oo-SORE-us,'Achelous' lizard',ceratopsian,6.0m,,herbivorous,,,,"Late Cretaceous, 83-70 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sampson ,(1995) ,horneri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg
Achillobator,a-kil-oh-bah-tor,'Achilles hero',large theropod,5.0m,,carnivorous,,,,"Late Cretaceous, 99-84 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Perle, Norell and Clark ",(1999) ,giganteus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg
Acrocantho-saurus,ah-kroh-kan-tho-SORE-us,'high-spined lizard',large theropod,12.0m,,carnivorous,,,,"Early Cretaceous, 115-105 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae",Stovall and Langston ,(1950) ,atokensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg
Aegyptosaurus,ee-JIP-toe-SORE-us,'Egyptian lizard',sauropod,15.0m,,herbivorous,,,,"Late Cretaceous, 98-93 million years ago",Egypt,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Stromer ,(1932) ,baharijensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg
Afrovenator,aff-ROW-ven-ah-tor,'African hunter',large theropod,9.0m,,carnivorous,,,,"Early Cretaceous, 132-121 million years ago",Niger,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae","Sereno, Wilson, Larsson, Dutheil and Sues ",(1944) ,abakensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg
Agilisaurus,aj-i-li-sore-us,'agile lizard',small ornithischian,1.5m,,herbivorous,,,,"Late Jurassic, 169-159 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Peng ,(1990) ,louderbacki,  Agilisaurus is known from a skull and almost complete skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg
Alamosaurus,ah-la-mow-SORE-us,'Alamo lizard',sauropod,21.0m,,herbivorous,,,,"Late Cretaceous, 70-66 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Gilmore ,(1922) ,sanjuanensis,  This is the only Late Cretaceous sauropod that has been found in North America.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg
Albertaceratops,al-bert-a-serra-tops,'Alberta horned face',ceratopsian,7.0m,,herbivorous,,,,"Late Cretaceous, 80-75 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia",Ryan ,2007 ,nesmoi,"  This dinosaur is known from a single, well-preserved skull from Alberta and material from a bone bed in Montana, including almost the entire skeleton, found in August 2001. It has long brow horns, unlike other members of the centrosaurine subfamily.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg
Albertosaurus,al-BERT-oh-saw-russ,'Alberta lizard',large theropod,9.0m,1500kg,carnivorous,"saw-edged, flesh-slicing teeth",probably plant-eating dinosaurs,on 2 legs,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Tyrannosauroidea, Tyrannosauridae, Albertosaurinae",Lamb ,(1914) ,libratus,"  Albertosaurus was a close relative of Tyrannosaurus, but smaller and not as heavily built.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albert.jpg
