"name","pronunciation","meaning","type","length","weight","diet","teeth","food","how_moved","when_it_lived","found_it","taxonomy","foundators","year","species_type","comments","img_url","length_clean","diet_clean","num_taxonomy","site1","site2","site3","site4","era","time_range","start","end"
"Aardonyx","ar-don-ix","'Earth claw'","prosauropod","8.0m",NA,"herbivorous",NA,NA,NA,"Early Jurassic, 199-189 million years ago","South Africa","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria","Yates, Bonnan, Neveling, Chinsamy and Blackbeard ","2010 (2009) ","celestae"," Aardonyx Aardonyx is known from two immature individuals. Adults would have been much larger, probably over 10m. Aardonyx Aardonyx would have been largely bipedal (walking on two legs) but also capable of walking on all four legs. This and its way of feed","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aardonyx.jpg",8,"herbivorous",5,"SouthAfrica",NA,NA,NA,"Early Jurassic","199-189 million years ago",199,189
"Abelisaurus","ah-BEEL-ee-sore-us","'Abel's lizard'","large theropod","9.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 74-70 million years ago","Argentina","Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae, Abelisaurinae","Bonaparte and Novas ","(1985) ","comahuensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg",9,"carnivorous",7,"Argentina",NA,NA,NA,"Late Cretaceous","74-70 million years ago",74,70
"Achelousaurus","ah-KEL-oo-SORE-us","'Achelous' lizard'","ceratopsian","6.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 83-70 million years ago","USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae","Sampson ","(1995) ","horneri",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg",6,"herbivorous",10,"USA",NA,NA,NA,"Late Cretaceous","83-70 million years ago",83,70
"Achillobator","a-kil-oh-bah-tor","'Achilles hero'","large theropod","5.0m",NA,"carnivorous",NA,NA,NA,"Late Cretaceous, 99-84 million years ago","Mongolia","Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Perle, Norell and Clark ","(1999) ","giganteus",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg",5,"carnivorous",4,"Mongolia",NA,NA,NA,"Late Cretaceous","99-84 million years ago",99,84
"Acrocantho-saurus","ah-kroh-kan-tho-SORE-us","'high-spined lizard'","large theropod","12.0m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 115-105 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae","Stovall and Langston ","(1950) ","atokensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg",12,"carnivorous",4,"Canada","USA",NA,NA,"Early Cretaceous","115-105 million years ago",115,105
"Aegyptosaurus","ee-JIP-toe-SORE-us","'Egyptian lizard'","sauropod","15.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 98-93 million years ago","Egypt","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Stromer ","(1932) ","baharijensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg",15,"herbivorous",10,"Egypt",NA,NA,NA,"Late Cretaceous","98-93 million years ago",98,93
"Afrovenator","aff-ROW-ven-ah-tor","'African hunter'","large theropod","9.0m",NA,"carnivorous",NA,NA,NA,"Early Cretaceous, 132-121 million years ago","Niger","Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae","Sereno, Wilson, Larsson, Dutheil and Sues ","(1944) ","abakensis",NA,"https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg",9,"carnivorous",5,"Niger",NA,NA,NA,"Early Cretaceous","132-121 million years ago",132,121
"Agilisaurus","aj-i-li-sore-us","'agile lizard'","small ornithischian","1.5m",NA,"herbivorous",NA,NA,NA,"Late Jurassic, 169-159 million years ago","China","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda","Peng ","(1990) ","louderbacki","  Agilisaurus is known from a skull and almost complete skeleton.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg",1.5,"herbivorous",4,"China",NA,NA,NA,"Late Jurassic","169-159 million years ago",169,159
"Alamosaurus","ah-la-mow-SORE-us","'Alamo lizard'","sauropod","21.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 70-66 million years ago","USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Gilmore ","(1922) ","sanjuanensis","  This is the only Late Cretaceous sauropod that has been found in North America.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg",21,"herbivorous",11,"USA",NA,NA,NA,"Late Cretaceous","70-66 million years ago",70,66
"Albertaceratops","al-bert-a-serra-tops","'Alberta horned face'","ceratopsian","7.0m",NA,"herbivorous",NA,NA,NA,"Late Cretaceous, 80-75 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia","Ryan ","2007 ","nesmoi","  This dinosaur is known from a single, well-preserved skull from Alberta and material from a bone bed in Montana, including almost the entire skeleton, found in August 2001. It has long brow horns, unlike other members of the centrosaurine subfamily.","https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg",7,"herbivorous",2,"Canada","USA",NA,NA,"Late Cretaceous","80-75 million years ago",80,75
